Radius,Theta,Direction,Timestamp
3,2.51327419,1,2023-12-17T13:25:50.3942144+01:00
5,3.1415,2,2023-12-17T13:25:57.3990784+01:00
5,2.51327419,1,2023-12-17T13:26:10.3965440+01:00
5,3.1415,2,2023-12-17T13:26:17.4092288+01:00
4,2.09439516,1,2023-12-17T13:26:30.4131200+01:00
5,3.1415,2,2023-12-17T13:26:37.4181504+01:00
4,3.76991129,2,2023-12-17T13:26:50.4158976+01:00
5,3.1415,1,2023-12-17T13:26:57.4202368+01:00
5,3.76991129,2,2023-12-17T13:27:10.4196096+01:00
5,3.1415,1,2023-12-17T13:27:17.4420608+01:00
4,3.76991129,2,2023-12-17T13:27:30.4225280+01:00
5,3.1415,1,2023-12-17T13:27:37.4505728+01:00
3,2.93215322,1,2023-12-17T13:27:50.4531200+01:00
5,3.1415,2,2023-12-17T13:27:57.4577920+01:00
4,2.09439516,1,2023-12-17T13:28:10.4443392+01:00
5,3.1415,2,2023-12-17T13:28:17.4560128+01:00
4,2.93215322,1,2023-12-17T13:28:30.4589056+01:00
5,3.1415,2,2023-12-17T13:28:37.4629504+01:00
4,2.93215322,1,2023-12-17T13:28:50.4635648+01:00
5,3.1415,2,2023-12-17T13:28:57.4686976+01:00
5,2.51327419,1,2023-12-17T13:29:10.4808064+01:00
5,3.1415,2,2023-12-17T13:29:17.4855552+01:00
3,2.09439516,1,2023-12-17T13:29:30.4820736+01:00
5,3.1415,2,2023-12-17T13:29:37.4870016+01:00
4,3.76991129,2,2023-12-17T13:29:50.4869760+01:00
5,3.1415,1,2023-12-17T13:29:57.4999424+01:00
5,4.18879032,2,2023-12-17T13:30:10.5004544+01:00
5,3.1415,1,2023-12-17T13:30:17.5054848+01:00
3,2.93215322,1,2023-12-17T13:30:30.4924288+01:00
5,3.1415,2,2023-12-17T13:30:37.5075584+01:00
4,2.51327419,1,2023-12-17T13:30:50.4956672+01:00
5,3.1415,2,2023-12-17T13:30:57.5081984+01:00
4,2.09439516,1,2023-12-17T13:31:10.5094784+01:00
5,3.1415,2,2023-12-17T13:31:17.5278464+01:00
3,4.18879032,2,2023-12-17T13:31:30.5123840+01:00
5,3.1415,1,2023-12-17T13:31:37.5276928+01:00
